time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0009,0.0,0.0,0.0,10.16,2.97,0.0
20160101:0109,0.0,0.0,0.0,10.12,3.2,0.0
20160101:0209,0.0,0.0,0.0,10.09,3.43,0.0
20160101:0309,0.0,0.0,0.0,10.05,3.66,0.0
20160101:0409,0.0,0.0,0.0,9.82,4.14,0.0
20160101:0509,0.0,0.0,0.0,9.6,4.63,0.0
20160101:0609,0.0,0.0,0.0,9.37,5.12,0.0
20160101:0709,0.0,5.17,24.09,8.83,5.62,0.0
20160101:0809,39.3,1041.88,30.85,8.29,6.13,0.0
20160101:0909,0.0,0.0,0.0,7.74,6.63,0.0
20160101:1009,0.0,0.0,0.0,7.4,6.84,0.0
20160101:1109,27.59,701.87,31.4,7.06,7.04,0.0
20160101:1209,0.34,18.83,24.92,6.72,7.24,0.0
20160101:1309,3.04,92.11,16.2,6.27,6.6,0.0
20160101:1409,1.71,61.05,5.94,5.83,5.96,0.0
20160101:1509,0.0,0.0,0.0,5.39,5.32,0.0
20160101:1609,0.0,0.0,0.0,5.33,5.05,0.0
20160101:1709,0.0,0.0,0.0,5.28,4.77,0.0
20160101:1809,0.0,0.0,0.0,5.23,4.5,0.0
20160101:1909,0.0,0.0,0.0,5.47,4.45,0.0
20160101:2009,0.0,0.0,0.0,5.71,4.4,0.0
20160101:2109,0.0,0.0,0.0,5.95,4.34,0.0
20160101:2209,0.0,0.0,0.0,6.29,4.06,0.0
20160101:2309,0.0,0.0,0.0,6.64,3.77,0.0
20160102:0009,0.0,0.0,0.0,6.99,3.48,0.0
20160102:0109,0.0,0.0,0.0,7.03,3.08,0.0
20160102:0209,0.0,0.0,0.0,7.06,2.68,0.0
20160102:0309,0.0,0.0,0.0,7.1,2.28,0.0
20160102:0409,0.0,0.0,0.0,7.29,2.31,0.0
20160102:0509,0.0,0.0,0.0,7.48,2.35,0.0
20160102:0609,0.0,5.62,15.17,7.67,2.39,0.0
20160102:0709,17.21,444.76,24.11,7.38,2.8,0.0
20160102:0809,11.94,309.13,30.89,7.08,3.22,0.0
20160102:0909,25.09,644.61,34.71,6.78,3.64,0.0
20160102:1009,0.0,0.0,0.0,6.44,3.64,0.0
20160102:1109,0.0,0.0,0.0,6.09,3.63,0.0
20160102:1209,0.0,0.0,0.0,5.75,3.63,0.0
20160102:1309,25.25,659.54,16.33,5.74,2.97,0.0
20160102:1409,1.5,55.33,6.07,5.74,2.32,0.0
20160102:1509,0.0,0.0,0.0,5.74,1.67,0.0
20160102:1609,0.0,0.0,0.0,5.76,1.79,0.0
20160102:1709,0.0,0.0,0.0,5.79,1.92,0.0
20160102:1809,0.0,0.0,0.0,5.82,2.04,0.0
20160102:1909,0.0,0.0,0.0,5.53,2.12,0.0
20160102:2009,0.0,0.0,0.0,5.25,2.21,0.0
